Search term,Domain
Cod,"Agriculture, Energy and Environment"
Energy ,"Agriculture, Energy and Environment"
Environment,"Agriculture, Energy and Environment"
Farming ,"Agriculture, Energy and Environment"
Greenhouse Gas ,"Agriculture, Energy and Environment"
Land use ,"Agriculture, Energy and Environment"
Brexit,"Business, Trade and International Development"
Company,"Business, Trade and International Development"
Consumer Product,"Business, Trade and International Development"
EU Trade,"Business, Trade and International Development"
Patent,"Business, Trade and International Development"
Product,"Business, Trade and International Development"
Stock Market,"Business, Trade and International Development"
Trade,"Business, Trade and International Development"
Child Heath,"Children, Education and Skills"
Education,"Children, Education and Skills"
Exam,"Children, Education and Skills"
Skills,"Children, Education and Skills"
University,"Children, Education and Skills"
Crime,Crime and Security
Police,Crime and Security
Economy,Economy
GDP,Economy
Revenue,Economy
GP,Health and Social Care
Benefits,Labour Market and Welfare
Earnings,Labour Market and Welfare
Jobs,Labour Market and Welfare
Census,Population and Society
Migration,Population and Society
Population,Population and Society
Holiday,"Travel, Transport and Tourism"
Transport,"Travel, Transport and Tourism"
Travel,"Travel, Transport and Tourism"
